job_title,location,date,rating,review_title,pros,cons
Former Employee - Barista,"Edinburgh, Scotland",29 June 2019,1.0,"""I wish I had never taken the job.""","The company unfortunately has no pros, at least where I worked, I do hope other places have better management. I wish I could rate it 0 stars but unfortunately it is not possible.","I wish my case was an isolated case but unfortunately it happened to people before and after I got there.

Manager/supervisors that discriminate you in front of other team members. 

They also think that by talking to you in a disrespectful way and by demanding things they will get more out of you. Where is the training Benugo? I mean, anyone with common sense wouldn’t do this but you are just losing out on potential good employees by letting bad management stay and make people’s life’s miserable. 

Never received proper coffee training, on my coffee day training I was shown the machine and told to check on YouTube if I wanted to learn, first time that I haven’t received training on-site and that I’ve been told to do trainings outside working hours.

Would ask us to do jobs after clocking out and if refused then you would just get stuck doing the worst jobs that nobody wanted to do or the same job every day when there is plenty of different roles.

Gave management a copy of my holidays for the year as it was all planned and every time I went on holiday they managed to give me more time off or forget to add me to the rota. 

Asked us to not wear jeans or trainers but even supervisors/managers would. 

No tips, they somehow always disappeared. Even though they said that they were going to be used for a staff night out that day never arrived. 

Shirts promised and they even asked everyone for sizes but never ordered/received.

Events supervisors clueless, could go on for a whole shift without a break and if you didn’t complaint you wouldn’t get it.  

Things required for work would break and never get repaired.

Kitchen would always stink and look dirty, would never eat there even if they paid me. Talking about food, everyone that ate Benugo’s food would constantly get sick and/or a sore stomach. 

Lots of very hard working people at the same time as lots of very NOT hard working people, no teamwork which makes you feel like you are better off not working hard because why work hard in a company that when you are 1 or 2 people down and you work harder than ever they don’t even smile or say goodbye or good morning to you. 

I am more than happy to not be working here anymore and would not care if I have to live under a bridge as long as I don’t have to see and experience my colleagues and myself being treated like rubbish day after day."
Former Employee - Barista,,3 June 2019,2.0,"""Shocking Management""","50% off food, free coffee,","Management treat you like vermin
No regular hours, only find out rota for the next week on the day that week starts"
Former Employee - I Have Worked In the Hospitality Sector for 13 Years,"Norwich, England",6 May 2019,3.0,"""Nice idea, poorly managed.""",Great coffee. Good hours. Great team.,"Entry level managers, who have no idea of HR policies or employment law. Certain managers feel as if they own you and your life."
Former Employee - Barista,"London, England",11 June 2019,1.0,"""You get sacked for bad management choices""","Free food, coffee and nice customers","Incompetent manager who hire people when they do trial and then fire after a couple of days, giving no space to show improvement."
Former Employee - Section Leader,"London, England",18 April 2019,4.0,"""Section leader""",The best part of working at Benugo are the colleagues which are aged very young on avarage and there is a great spirit of collaboration between the team,Salary not so good and management not always attent to employees needs
Current Employee - Team Member,"London, England",9 April 2019,2.0,"""Donkey job""","Good ambient, nothing else","Bad salary, bad opportunity"
Former Employee - Team Member,"London, England",15 February 2019,4.0,"""I would recommend to my frineds""",You can meet very international people,"With some time, job is being boring"
Former Employee - Anonymous Employee,,11 March 2019,1.0,"""FOH""",Free food and nothing else really.,Management are horrible! they treat their staff like pests.
Former Employee - Anonymous Employee,,20 November 2018,1.0,"""Disgusting company to work for""",Nothing that worth to work for them,Everything from the B to the O
Former Employee - Kitchen Staff,"London, England",10 November 2018,1.0,"""Kitchen Member""","My opinion? There is Not Pros, None.","Team rude and the worst, the team lead. When the employees didn't speak English properly, the team lead did bullying them."
Current Employee - Team Member,"London, England",4 October 2018,3.0,"""Okay for a start in London""",There was an efficient recruiting process and rota planning,"A lot of bad English speaker. Not good to learn English
Seems like a kind of Italians kartell."
Former Employee - Team Member,"London, England",30 October 2018,1.0,"""Terrible company""","Daytime work, location, free tea","Didn’t pay correct salary, manager didn’t know how to communicate, cutting hours, lying, not listening"
Former Employee - Anonymous Employee,,24 September 2018,3.0,"""Front of house staff""",Easy to get job just as you move city if you have no alternative,"low paid, tiring, not very fair, sometimes slightly dictator like management"
Team Member,,13 September 2018,3.0,"""Not great""","Free coffee on shift, great team","High pressure, high staff turnover, repetitive work"
,,20 August 2018,3.0,"""Great locations""","Location
Free staff food
Day time hours in some shops","Poor management 
Underpaid 
Not enoug hours"
Former Employee - Team Member,,29 July 2018,1.0,"""Save yourself""",Free food and drinks during breaks.,"Team can be extremely rude, Long hours, Busy and standing up for hours. Managers don't really care for your well being. Only one break a say, sometimes working 8 or 9 hours with only 30 mins break."
Former Employee - Anonymous Employee,,5 July 2018,2.0,"""manager""","fun workmates, input on food offer","not rewarding loyalty, no interest in staff wellbeing"
Former Employee - Anonymous Employee,"London, England",14 June 2018,4.0,"""Best job""","Busy enviroment but easy to do, I was in for Benugo shops and I really enjoy working in this company.",Salary and to many hours.
Current Employee - Team Member,"London, England",23 May 2018,3.0,"""team meber""","weekly payment, flexible hours, great locations","rude managers, hard work, no balance"
Former Employee - Anonymous Employee,,10 May 2018,4.0,"""can be nice""","Nice people to work with. Free food during your shift, Free coffee 50% discount anytime, at every branch","Understaffed, hectic rota, one week more than 50 hours, but the very next just 20.  0 hour contract"
Head Waitress,,26 April 2018,3.0,"""A good place to start""","Good Hours
Flexible Hours
Day time job
Nice team
Nice spaces
Modern equipments","Bad management organisation
Always short in staff for the day"
,,11 March 2018,3.0,"""bad management""","pay was crap
and it was  paying minimum wage",no incentives to keep  working the hours was too early
Former Employee - Anonymous Employee,,21 February 2018,4.0,"""Better than  expected""","The people are amazing, you really learn how to work in a team. They keep an eye to educate the stuff according to their standards. The coffee is good, and there are some inspiring people who try to keep an eye on  the quality.","Salary. 
If the shop is not busy they send people home. Never understood why they send home the little people,  when they can save more money if they send home a team leader. Or the managers are afraid that they can't handle their team? Don't put people like that in a manager position then!"
Former Employee - Team Member,"London, England",14 February 2018,3.0,"""Good""","People
Selling
Challenge
Development
Why 5

Seriously? I do more","Hours
Food
Drinks
Heavy
Hard
Why 5

Seriously? I do more"
Current Employee - Team Leader,"London, England",9 February 2018,3.0,"""good place to start and moving forward""","good venues, museums to work in and parks.",sometimes you don't do enough hours
Current Employee - Anonymous Employee,,25 January 2018,4.0,"""benugo review""","50% food discount, free food on shift, free coffee","busy envoirment, shop is very busy"
Former Employee - Anonymous Employee,,23 January 2018,2.0,"""I felt anonymous, as a team member""",Salary was paid weekly. The management didn't have problems with taking days off work. They were flexible with any requests connected to my working hours/possible changes to the rotas.,"You are completely anonymous, as a team member. The management doesn't care about you personally - your progress, the just allocation of task, in accordance with experience and the time worked for the company. The hourly rate is really too low."
Former Employee - Anonymous Employee,"Greenwich, England",10 February 2018,1.0,"""Incompetent leadership""",Free food was good I guess,"Bad salary
Promotion is based on time spent with the company and not on skills, which leads to highly incompetent leadership 
Basic health and safety procedures are ignored by senior staff even after reporting it to management multiple times (mixing raw meat and cooked food is a great example)
Administrative staff is completely useless, they lost my contract 2 times in 4 months and when I left the company they still didn't had it"
Current Employee - Barista,"Edinburgh, Scotland",7 February 2018,1.0,"""Never again.""","Pay is really good, particularly for a hospitality position.","Biased, unorganised, disrespectful management. Worked only for themselves, looked down on all staff in positions below them. Huge staff turn over rate but no official training, then staff were penalised for not knowing how to deal with situations. Tips not given."
Former Employee - Anonymous Employee,,5 December 2017,4.0,"""sad to leave""","great people
free food
staff drinks regularly",lots of moaning from management
,,6 November 2017,4.0,"""Benugo""",It is a very flexible job,It doesn't pay that well
Former Employee - Anonymous Employee,,30 October 2017,2.0,"""Review""","convenient workplace, funny people to work with","low salary,  only 30 minutes break"
Former Employee - Team Member,"London, England",6 November 2017,1.0,"""Worst Company to work for""","Free meal
You can make new friends
free drinks
free uniform","Long working hours
Rude Managers
Busy
No smoking break
managers are very bossy and arrogant"
Former Employee - Section Leader,"London, England",19 September 2017,4.0,"""Overall good experience""","International and diverse team, flexible hours and managers, possibility to learn strict standards of catering and customer service, very friendly atmosphere","There's a chance you will work with people whose english level is very low, very short breaks, not a big room for growth, generally low salary"
Cafe Assistant,"London, England",5 August 2017,3.0,"""okay job but not a great one""",Free food provided for you in breaks,"Not a balanced ecosystem to work in, not everyone is teated fairly.  not enough break."
Former Employee - Team Member,"Urquhart, Scotland",11 July 2017,1.0,"""An eye opener""","Free lunch 
Some great colleagues","Manager has a bad attitude to staff and customers.
Never know how long your shift will actually be.
Manager decides your future with other staff but not yourself.
Will tell you private and personal information about all other staff. I have heard staff members' characters assassinated.
Staff are put under stress by daily rants, ever changing hours or no hours when many hours are promised to entice you to work there but manager needs her bonus and will cut your hours down to gain it. 
Manager swears, slams and huffs about while you are trying to work with the public.
If you disagree with the boss  (not just work related) you will suffer.
Manager has a passive aggressive nature and will just chip at you daily rather than confront you.
Leaving my job was a direct result of boss' poor memory and insults and/or denial and lies, 6 members of staff have left in 7 weeks because of the manager's attitude. 
Manager's attitude extends to the customers also, she doesn't care because ...""you won't see them ever again..."" Poor quality food for the price and not the fault of the staff only the manager. 
They are treated well and ALL rules followed  when head office staff are around otherwise they are treated like second class citizens or annoying flies.
One 30 minute unpaid break not great if on the 11 hour shift
Go for a better deal anywhere else in Drumnadrochit."
Former Employee - Team Member,"Edinburgh, Scotland",4 July 2017,1.0,"""Overworked by a selfish manager (Urquhart Castle Cafe). If you want to be treated like a human – don’t work for Benugo""","Free food, but you will struggle to find the time to have a break as the company is always understaffed.","Low pay, no tips, bad hours, rude manager.  This company looks appealing from the outside but once you start working for them you will see the just how badly the company is managed. I worked for Benugo in the National Museum of Scotland and Urquhart Castle from 2014-2017. The managers are rude, disrespectful, backstabbing and all they care about is getting their bonus. The managers refer to the staff as ‘Assets’ and will put on a fake smile to make you work hard. In my 4-year experience with Benugo I can say with confidence that the cafes are always severely understaffed (simply because the manager only cares about the hefty bonus she will get if the labour costs are reduced), which means that the staff must rush around and work twice as hard. The staff are forced to do 5 tasks at once means that the customer service is awful. The customers get treated poorly because of chronic understaffing, they pay over £3 for a rushed, sour coffee that is made by a manager who is paranoid about getting her end-of-the-month bonus. The manager will never take on any criticism from customers and staff alike. For example, if a customer complains about the food, it’s the customers fault. The management will always have an excuse to why they won’t employ more people. The poor customers pay a fortune for stale scones and bitter Coffee. This mess of a company is a direct result of UNDERSTAFFING which is something the company and managers do not seem to understand. The managers are never happy and blame everything on the staff."
Head Barista,"London, England",31 May 2017,3.0,"""Thanks benugo""","You can improve knowledge about coffee, opportunities to work all over uk","Very close mentality, difficult for career"
Former Employee - Barista,"London, England",13 June 2017,2.0,"""Just another company taking advantage of its workers""","50% staff discount in all Benugo places 
All hot drinks are free
Staff meal included 
Good staff members 
Team effort is usually acknowledge","Very busy
Minimum wage
Service charge isn't than great
Long and hectic hours 
Lots of problems with the kitchen, specially when asking for staff meal
On the job training"
Former Employee - Anonymous Employee,,9 June 2017,2.0,"""Poor management""","Worked with good team members.
Coffee was good","Poor organised management 
Disorganised company 
No leadership 
No proper training, having to learn on the job."
Former Employee - Anonymous Employee,,29 April 2017,3.0,"""Great environment, constantly understaffed""","Vibrant environment such as museum, parks...
Food is good.","Unpaid 30 min break.
Understaffed and under waged - cafe is busier than the restaurant but restaurant get paid more because of service charges : No sense.
No tips.
Team member keep changing."
Former Employee - Anonymous Employee,,31 May 2017,1.0,"""Zero flexibility, long hours, mediocre pay""","You get to learn a few skills in hospitality depending on where you are - museum/in-house/parks. 

Shifts longer than six hours means you're entitled to a 30 min break and staff meal.","Inflexible work schedule - you'll be expected to work weekends without declining at any point, even for a doctor's appointment. You may be asked to work over 50 hrs a week, especially in the summer. They have the right to decline your pre-planned holidays with little notice.

Some sites have very unfriendly managers/staff which can make it a hostile work environment.

The pay does not justify the level of responsibilities for team member roles. Some tasks are menial and  non-essential, but managers insist on them being done."
Current Employee - Batista,"Swindon, Wiltshire, South West England, England",9 May 2017,2.0,"""Terrible workplace""","Free meals on shift 
Good pay","Management don't listen to you 
Hours get cut for petty things
Say you can progress and then change minds"
,,26 January 2017,3.0,"""staff""",you do receive free food,management could use some work on and they don't train you
Current Employee - Cafe,"Glasgow, Scotland",21 February 2017,1.0,"""Benugo Glasgow the WORST establishment I have ever had the misery to be employed at.""","*Free staff food only after 6 hours of work

*Free coffee any time you come in 

*The FOH staff are unlike a team I have ever met, dwindling morale or otherwise","Everything you can think about this place is a train wreck. 
* CONSTANT and EXTREME understaffing

* Management blames staff for bad sales

* Holiday pay has not been received by at least 1 staff member who took leave months ago

* Messy and incoherent leadership from GM

* Many staff do not receive their contracted hours

* Have never received tips from the constantly over-flowing tip jar and the cafe has been open since November. 

* Expected to solely complete jobs that require at least 2 staff under impossible time restraints. 

* Genuinely regarded as disposable by management. 

* Clientele consist mostly of aggressive old women who have no problem publicly degrading you. 

I would not recommend this as a place for employment unless desperate or already dead inside."
Current Employee - Anonymous Employee,,1 December 2016,1.0,"""ETHICAL AND SOURCING POLICIES?! LIES""","-have recycled napkins 
- staff discount 
-free drinks","Benugo- ""We’re conscious of the environmental impact of our operations and aim to run our business in a manner that respects the environment."" 
 
this is far from the truth, plastic here there everywhere! Where i work we have around 10 sets of cutlery the rest is PLASTIC! 
PLASTIC CUPS instead of beakers
Overuse of plastic wrappers 
CLINGFILM not containers with lids 
ETC ETC 
all of this is easilly change which in the mean time will not just save the planet but save money!!"
Team Member,"London, England",29 August 2016,1.0,"""Don't even think about it!""",50% staff discount at any benugo location,"Being a current employee all I can say that this is the most poorly run company I ever worked at.

All time issues are:

- understaffed teams, 
- team members are expected to perform tasks they haven't been trained for, while under supervisor's pressure
- lack of time to properly train employees
- illogical decisions by undertrained/inexperienced people who were prematurerly promoted to be decision-makers
- constant threat of hour-cutting
- incredibly low wages considering the duites that are to be done to a very high level
- shamefully incompetent, insincere and callow individuals holding power
- huge amounts of food wastage
- no real chance of career opportunities, ie.: if you do your job good you get the chance to do other's as well... this is not a career opportunity, this is exploitation
- complete disregard of life-work balance of employees

It is a shame indeed that Benugo values its people, or at least that's what they say. That is a lie! 

All they care about the money, the power, and the opportunities to grow and get a bigger bite out of everything while destroying precious, bright and young individuals, their willingness to start a career in this industry!

Shame on you people!"
,,9 July 2016,4.0,"""Benugo team member""","- 50% discount
- Good training",- Not enought training (coffee)
Former Employee - Team Member,"London, England",11 August 2016,1.0,"""Only focusing on money""","Good start as a first job, easy money","People are only focusing on money, they don't care about their staff, rules are applied the way they want to, not everybody is treated equally, and hours are distributed the same way. During my time working there I could see how one of the managers was doing nothing at all the entire day, not working the hours stated on its contract, making us do its job because it had no idea how to work with a computer, but incredibly, this person got promoted, even when other people were asking for more hours because they really needed the money. As well, during your shifts you are only entitled to eat a sandwich and a bottle of water, while my manager's friends were coming almost everyday and eating whatever they wanted to."
Former Employee - Anonymous Employee,,22 June 2016,3.0,"""Good and poor experience""","Fantastic venues
Given a lot of responsibilities
Benefits: lunch is included and free museum exhibition tickets","Internal problems as department are working separately 
No opportunity to grow
Poor management"
,,21 April 2016,2.0,"""The salary doesnt pay the conditions""",To learn how these suposedly high standing catering companies work. Make some money fast.,"Near marcial discipline from team leaders and management. Incomprehnsive rules to achive a suposedly excelence in the service, turning out to be basically annoying for clients and workers. 'Money' is the word you will hear the most."
Former Employee - Anonymous Employee,,8 April 2016,2.0,"""They won't care about you""","Gain experience in the sector, there is always extra hours to do","Bad practices with food, too low salaries, too much pressure for such a job"
Current Employee - Barista,"London, England",26 April 2016,1.0,"""THE WORSE COMPANY YOU CAN WORK FOR""",Free coffee flexible hours friendly colleagues,"unprofessional managment
for them you are just a number
minimum wage, no tips
11 hours shift and less than 30 mins break
no rewards
no progress
dictation culture, you are not allowed to have a chat with your workmate or chill for a second
awful food
dont even ask if you can run 5 mins to the toilet or they will bully u
no manners"
Former Employee - Anonymous Employee,,4 April 2016,2.0,"""Poorly run company""","-Easy job
-large amount of training opportunities","-Poor management 
-understaffed 
-low wages
-constant cost cutting so regular stock issues
-Very poor accounting pay regularly incorrect and holiday pay was never paid! 
-Constant staff turn over over 30 staff left in the 8 months I was working at benugo!"
,,7 March 2016,3.0,"""team member""","Very good company, really enjoyed working there i meet people from all over the world, got excellent training, learned a lot about what happens behind the scenes, learned how to work in a very competitive work place, also in very busy environment.","low salary,, anagement incompetence, no staff motivation"
Former Employee - Barista,"London, England",11 December 2015,1.0,"""Run away people!!!""","sometimes it's people you are working with, but very often rotation is so high you don't know some of them even.","This is a ""disabled"" company. Horrible management, very arrogant."
Former Employee - Counter Staff,"London, England",2 December 2015,1.0,"""prêt a manger is wonderland compared to benugo""","If you're lucky enough to work in a ""in house location"" you'll be paid 9.15£ per hour instead of minimum wage",Store management. Really. Someone needs to train them to train and motivate people.
Former Employee - Section Leader,"London, England",30 October 2015,2.0,"""Section Leader""",Very easy to get the job in case you need quick money.,Always short of staff. Never positive feedback.
Former Employee - Team Member,"London, England",16 October 2015,3.0,"""Decent summer job.""","Hours were ok, the staff was awesome aswell. Free lunch. Free admission pass to all facilities in Natural History museum","manegement making impossible aims by stressing, not motivating the staff."
Former Employee - Waitress,"London, England",16 September 2015,4.0,"""work in Benugo""",I like to work in a team. Quick and eager to learn. Working in Benugo is interesting to me. With this work I can gain new experiences and skills.,I do not see any downsides work in Benugo.
,,16 September 2015,3.0,"""abou team member position""","weekeend is day off for everyone , free coffee","managers trying to put on your head job , which should be doing two or three peoples . If you're sick they don't care about it , you need to work"
,,24 August 2015,3.0,"""Good place to work""","Lovely people, great venue to work at.",No flexibility in working hours.
Operations Manager,"London, England",3 August 2015,4.0,"""Benugo ltd""",Career development opportunities are really good.  The salary roles are paid well and a 20% annual bonus scheme.  The people are great and very friendly.  Really good training programmes.,The working hours can be early and late depending where you work.  This can affect work/life balance
Former Employee - Barista,"London, England",13 August 2015,2.0,"""Waste of time""","It is very easy to get the job, I learned a lot about customer service. It was good only as my first job after moving to the UK.","The job is very physically demanding, very low pay, no proper training, no clear rules, the management doesn`t respect people.  The company is saving money by not employing enough people so you have to work like crazy."
Team Member,"London, England",4 August 2015,1.0,"""Corrupt Managment""",You get free food. That is literally the only pro.,My performance at work all of sudden became unsatisfactory when I started to point out to my new team leader that he was serving food that expired a week ago. Also long hours and crappy pay. Expect to work 9 hours straight and then only be offered your break half an hour before you're supposed to leave.
Current Employee - Anonymous Employee,"London, England",8 July 2015,2.0,"""Barista""","simple job, get to meet lots of people, great job for students as flexible with working hours (depends on shop and location)","repetitive work, no career progression, very limited teamwork"
Waiter,"London, England",17 June 2015,1.0,"""Such a nightmare""","Some of employees are nice. But most of them they don't know their value, because company very strongly pushing them down.","Benugo is a place, where everyone is just an employee. You don't have any chance to move on.
The worst part of the Benugo it's managers and supervisors. Most of them they finished just a high school, such an ordinary people. Nothing common with managers. If you have nothing to do for a sec, you have to pretend that you are doing something.
Employees are scared of everything. There is no facilities for comfortable work.
Just change the company or don't even apply."
,,22 April 2015,3.0,"""Could be such an amazing place to work at...""","Some sites are in a really good location so can meet people you wouldn't otherwise 
Free coffee for all staff at any shop
50% discount on food no alcohol
For management even more
On some sites quite good tips","I heard that it used to be an awesome place to work at 4 years ago when Hugo was part of it. ( Ben and Hugo created the company)All member of staff were valued, because they knew you need a team that works together. Hugo has left the company a while ago...
Met loads of amazing people, but some that shouldn't be working in catering because its not for them at all therefore making others lives  very difficult by doing their job too.
Not enough advertisement or No advertising is blamed on staff if not out and handing flyers to people so they can discover quite often the hidden gems. If there isn't enough staff on floor you can't afford to do this. And you can't force anyone to be on streets and bother people whiles trying to get home asap.
Some managers are working till they drop, sometimes 28h a day and still getting checked on by people from ""above "" and some managers are favoured so they can work from 11am till 5pm and of course with weekends off. And of course no one checks on them...Leaving team leaders in charge who often don't get paid well for what they are doing for the company.
You are being recognised by hard working very early, and given promises of being promoted and getting pay rise , but when its not happening of course you will ask what's happening which isnt a good thing as it all can turn around by saying: ""you should be grateful that you can work here! Because if we wouldn't know you, you won't be considered anymore to be given this opportunity "" 
So good advice, just shut up!"
Barista,"Covent Garden, England",7 May 2015,1.0,"""Awful company""",Free coffee in other benugos even though it tastes awful,"Horrible pay, horrible food, horrible hr"
Waiter,"London, England",12 April 2015,1.0,"""NO RESPECT""","Notheing positive, nothing special, nothing valuable","almost one year was for me a horrible experience. you are working stressed and scared, because managers are always unhuppie. the only value for this company is to earn as much money as its possible."
Current Employee - Anonymous Employee,,24 January 2015,5.0,"""working at evening events""","A big range of young foreign people, not only English citizens.
The managers are really nice, and are always taking care about you (if you get food, water...). You have the opportunity to make progress and get a good place in the team.
The salary is really good, 7.49, and the best thing is the timetable, as you can choose when you want  to work","Some people wasn't very happy with the working hours, but before attending an event you already know how long will it take."
Former Employee - Team Member,"London, England",19 December 2014,4.0,"""Positive""","Very international team, guys from all over Europe and beyond. Everyone is friendly, spent a lot of time out of work with my colleagues. Supportive teamleaders.","Quite high turnover but some people have been in a team for over a year. Some people were complaining about payslip inaccuracy, not sure about mine. All seem correct. Top management do not seem to be very friendly."
